"orderid","customerid","orderdate","totalamount"
1,1,"2024-01-01","75.00"
2,2,"2024-01-02","20.00"
3,3,"2024-01-03","125.00"
4,4,"2024-01-04","50.00"
5,5,"2024-01-05","80.00"
6,6,"2024-01-06","30.00"
7,7,"2024-01-07","150.00"
8,8,"2024-01-08","40.00"
9,9,"2024-01-09","90.00"
10,10,"2024-01-10","175.00"
11,11,"2024-01-11","60.00"
12,12,"2024-01-12","200.00"
13,13,"2024-01-13","25.00"
14,14,"2024-01-14","100.00"
15,15,"2024-01-15","45.00"
16,16,"2024-01-16","70.00"
17,17,"2024-01-17","125.00"
18,18,"2024-01-18","150.00"
19,19,"2024-01-19","50.00"
20,20,"2024-01-20","175.00"
21,1,"2024-01-21","80.00"
22,2,"2024-01-22","90.00"
23,3,"2024-01-23","100.00"
24,4,"2024-01-24","120.00"
25,5,"2024-01-25","110.00"
26,6,"2024-01-26","95.00"
27,7,"2024-01-27","85.00"
28,8,"2024-01-28","75.00"
29,9,"2024-01-29","115.00"
30,10,"2024-01-30","140.00"
31,11,"2024-01-31","60.00"
32,12,"2024-02-01","70.00"
33,13,"2024-02-02","80.00"
34,14,"2024-02-03","90.00"
35,15,"2024-02-04","100.00"
36,16,"2024-02-05","110.00"
37,17,"2024-02-06","120.00"
38,18,"2024-02-07","130.00"
39,19,"2024-02-08","140.00"
40,20,"2024-02-09","150.00"
41,1,"2024-02-10","70.00"
42,2,"2024-02-11","80.00"
43,3,"2024-02-12","90.00"
44,4,"2024-02-13","100.00"
45,5,"2024-02-14","110.00"
46,6,"2024-02-15","120.00"
47,7,"2024-02-16","130.00"
48,8,"2024-02-17","140.00"
49,9,"2024-02-18","150.00"
50,10,"2024-02-19","160.00"
51,11,"2024-02-20","170.00"
52,12,"2024-02-21","180.00"
53,13,"2024-02-22","190.00"
54,14,"2024-02-23","200.00"
55,15,"2024-02-24","210.00"
56,16,"2024-02-25","220.00"
57,17,"2024-02-26","230.00"
58,18,"2024-02-27","240.00"
59,19,"2024-02-28","250.00"
60,20,"2024-02-29","260.00"
61,1,"2024-03-01","270.00"
62,2,"2024-03-02","280.00"
63,3,"2024-03-03","290.00"
64,4,"2024-03-04","300.00"
65,5,"2024-03-05","310.00"
66,6,"2024-03-06","320.00"
67,7,"2024-03-07","330.00"
68,8,"2024-03-08","340.00"
69,9,"2024-03-09","350.00"
70,10,"2024-03-10","360.00"
71,11,"2024-03-11","370.00"
72,12,"2024-03-12","380.00"
73,13,"2024-03-13","390.00"
74,14,"2024-03-14","400.00"
75,15,"2024-03-15","410.00"
